ID,Gender,Age,Region_Code,Occupation,Channel_Code,Vintage,Credit_Product,Avg_Account_Balance,Is_Active
73160,0,36,23,3,3,15,1,424138,1
1212,1,48,33,3,1,91,0,1275183,1
6213,1,46,18,1,2,86,1,681019,1
59838,1,48,24,3,1,39,0,649246,1
76600,0,27,30,2,0,14,0,496219,0
78985,0,29,4,1,0,19,0,1338097,0
104332,0,60,32,3,1,13,1,1497736,0
76994,1,26,29,2,0,14,1,594822,0
34047,1,28,20,2,0,20,0,145871,0
16818,0,48,9,3,1,93,0,437426,1
4504,0,25,28,3,0,20,0,1382152,1
40235,0,45,4,3,0,27,0,1174844,0
74593,1,25,4,2,0,21,0,1351660,1
84634,1,53,26,3,1,27,0,630146,1
30612,1,27,27,2,0,19,1,1671722,0
6723,0,24,1,1,0,15,1,721220,0
1446,0,28,25,1,0,26,1,1894365,0
88921,1,55,23,3,1,81,1,1432748,0
21995,1,82,10,1,2,109,0,1249916,1
75786,1,64,1,1,1,85,0,640728,1
77157,1,26,30,1,0,14,1,682532,0
93779,0,29,31,2,0,26,0,660104,0
31641,1,30,4,2,2,33,0,1113060,0
59163,0,34,11,2,0,20,0,831482,0
14031,0,42,12,3,1,32,1,439410,0
74456,1,32,12,2,0,32,0,711412,0
21538,0,36,4,3,1,43,0,850172,0
96563,0,31,1,2,0,19,0,1026410,0
32948,1,58,12,3,2,26,0,1032631,0
71922,1,28,3,2,0,20,0,1786657,1
101773,1,75,4,1,0,25,1,5977320,1
75172,0,43,32,3,2,38,1,572537,1
4007,0,81,34,1,2,91,0,1216638,1
50993,1,29,4,3,0,26,0,2855511,0
79084,1,29,33,2,0,21,0,902584,0
84415,1,43,24,1,1,50,1,765079,1
74428,1,58,18,3,1,33,0,321192,1
60724,0,66,13,1,3,7,1,983494,0
74098,0,30,18,2,0,25,0,954231,0
93582,0,28,19,1,0,33,0,1501563,0
46374,1,34,20,3,0,21,0,655084,0
54056,0,37,6,2,0,20,1,783475,0
54593,0,38,21,3,2,51,0,807238,1
4042,0,27,4,2,0,15,0,1581236,0
30934,1,64,33,1,0,32,0,634489,0
26660,1,28,0,2,0,38,1,813985,0
40290,0,29,30,1,0,20,0,850039,0
16838,1,62,30,1,1,86,1,887436,0
70716,1,28,4,2,0,14,0,621015,0
103833,1,58,18,3,1,85,0,480973,0
22758,0,25,30,1,0,14,1,1231920,0
2439,1,66,29,1,2,93,1,724816,1
35435,1,41,33,1,3,13,0,842393,0
97032,1,57,4,3,1,87,0,884731,0
92015,0,31,30,2,0,13,0,756642,0
51803,0,41,34,3,1,19,1,834179,0
12863,1,39,4,3,1,81,0,2468779,1
6155,0,45,27,3,1,92,0,1684494,1
32724,0,31,31,2,0,27,1,975217,0
67317,0,57,16,3,2,15,0,593282,0
57637,1,63,0,1,1,62,0,620766,0
51358,1,49,3,3,1,57,1,1320715,1
37687,0,62,27,2,2,93,0,875973,1
49499,1,66,13,1,2,91,0,386633,1
26968,0,41,18,3,1,51,0,1707883,1
36037,0,46,29,1,2,67,0,901187,1
78747,0,38,18,3,2,45,1,1597639,1
9883,1,51,5,3,1,20,0,735771,1
93815,0,41,18,3,1,25,0,553037,1
87543,1,26,25,1,0,15,0,1558185,0
51172,1,36,27,3,1,25,0,303543,1
8748,0,48,4,3,2,104,1,2155517,0
52628,1,45,13,3,2,21,1,660611,1
36297,0,64,4,1,2,97,0,1960963,0
93176,0,28,4,2,0,14,0,2586277,1
55809,0,45,33,3,1,26,0,627334,1
22088,1,49,31,3,1,31,1,590301,1
53740,0,44,7,3,1,33,0,409070,1
103552,1,35,19,3,1,55,0,1163772,0
34484,1,69,33,1,0,50,0,1248509,0
19358,1,62,5,1,2,105,0,815729,0
24178,0,27,7,2,0,20,0,645668,0
10905,1,47,11,0,2,21,1,664162,1
98807,1,42,2,3,1,20,1,510593,0
77985,0,31,29,2,0,31,0,242035,0
82361,1,32,6,2,0,19,0,784721,0
35071,1,53,18,3,2,98,0,2449725,1
21168,0,28,10,2,0,21,0,978483,0
65484,0,29,15,1,0,32,0,943996,0
4659,0,31,34,2,0,32,0,311144,0
95997,1,42,33,3,1,25,1,629915,1
32305,1,31,27,2,0,27,0,1620743,0
94618,1,56,6,3,1,55,1,797466,0
72726,0,35,18,1,0,27,0,692161,1
5253,1,50,33,3,1,115,0,565221,0
92405,1,58,11,3,1,57,0,367409,1
21304,1,31,13,2,0,27,0,398746,0
69824,1,64,18,1,1,99,1,844966,1
3007,0,28,33,2,0,25,0,4457725,0
70662,1,30,18,2,0,25,0,593452,0
84427,0,44,34,3,1,32,0,1967460,1
100905,1,34,33,2,1,13,0,2449627,0
86698,0,27,5,2,0,32,0,590666,0
31822,0,51,33,3,1,37,0,1619844,1
97741,1,51,18,3,1,26,0,1486540,0
17549,0,30,1,2,0,27,0,341145,0
70438,0,27,4,2,0,20,0,1093222,0
77938,1,42,4,3,1,33,1,1015409,0
37844,0,85,29,1,1,74,0,542793,1
29878,0,79,18,1,2,122,1,3193898,0
30234,0,42,34,1,0,80,0,1191176,1
37711,1,27,8,2,0,25,0,1615287,0
58112,1,44,28,3,1,20,0,887472,1
15870,1,64,18,1,2,110,1,1069780,0
16798,0,41,27,3,0,26,0,533902,0
93744,1,66,28,1,1,67,0,638939,1
82901,0,54,18,3,1,13,0,1450878,1
104297,1,49,34,3,2,80,0,813602,1
81715,1,45,18,3,1,74,0,776160,1
54980,0,31,7,2,0,27,0,281124,0
96260,0,56,4,3,1,62,0,1209251,1
71099,1,30,4,2,0,25,0,782541,0
27436,1,50,18,3,1,67,0,1151918,0
86845,1,50,1,2,2,81,1,649005,1
51906,0,30,30,1,0,20,0,384755,0
14337,1,48,34,3,0,32,0,796977,1
103748,1,42,34,1,1,14,0,1183584,1
92299,0,82,4,1,2,103,0,1506182,0
59017,0,43,28,3,1,63,1,1020242,0
74882,1,47,31,3,2,26,1,1091113,0
33222,0,30,18,2,2,50,0,1718474,0
48712,1,27,1,2,0,26,0,193824,0
18165,0,28,27,1,0,31,0,1012713,0
77866,0,55,31,1,1,56,0,1125583,1
9598,0,28,19,2,0,13,1,921345,0
53846,0,34,14,2,0,25,0,638797,0
30650,0,32,7,2,0,33,0,415923,0
46018,1,64,26,2,2,67,1,956180,1
66621,1,48,25,1,1,31,0,1024345,0
52619,1,51,33,3,2,91,1,1374168,0
89112,0,43,26,3,1,45,0,1032515,1
16552,0,63,33,1,2,86,1,1076303,0
29341,0,48,18,1,2,91,0,687854,1
51439,0,42,34,3,1,27,0,409230,1
48531,1,52,25,3,2,115,0,785273,1
45993,1,25,31,2,0,14,1,894530,0
79530,1,55,18,3,2,63,0,1314076,1
80245,0,53,18,2,2,123,1,1293081,0
5989,1,26,27,3,0,15,0,1790386,0
18489,0,34,14,3,1,14,1,445801,1
30323,1,54,4,3,1,116,0,1140535,1
15619,0,37,33,1,0,27,1,831233,0
93154,1,32,20,1,0,21,0,783671,0
94244,1,26,33,3,0,19,0,1447033,1
17300,1,34,11,2,0,20,1,825181,0
82057,1,28,4,2,0,20,0,1497567,0
18080,1,42,34,3,1,21,0,1931104,1
5388,0,41,14,3,0,33,0,319518,0
41733,1,42,33,3,1,15,0,2806855,1
55397,1,33,20,2,0,26,1,647234,0
18223,0,43,33,3,0,19,1,885612,0
25998,1,27,4,2,0,26,0,2849931,0
12886,1,47,32,3,2,56,1,667704,0
68723,1,26,34,2,0,20,0,714919,0
80353,1,46,18,3,2,93,1,996194,0
24632,1,38,30,3,3,14,1,414401,1
93420,1,69,4,1,1,68,0,842678,0
68747,0,30,20,2,0,13,1,625589,1
37683,0,66,27,1,2,86,0,2212762,1
7877,1,42,29,3,1,13,0,200223,1
14592,1,30,18,2,0,19,0,629933,1
215,0,29,30,3,0,14,0,889323,0
5775,0,41,32,1,2,25,0,826605,0
87256,0,44,3,3,1,19,0,1567583,1
53945,1,46,4,3,0,21,0,961075,1
46805,1,65,18,1,2,116,0,1184047,1
91201,0,32,33,2,0,21,0,1307169,1
25245,1,29,26,1,1,38,1,795713,0
17023,1,70,4,1,2,27,0,959206,1
11202,0,31,18,2,0,27,0,456196,0
27646,1,47,33,3,2,99,0,1112188,0
78348,1,53,22,1,1,14,0,664580,0
68915,1,29,33,2,0,14,0,1544648,1
56768,1,61,29,3,1,45,0,574975,0
22338,1,58,19,1,1,93,0,592624,1
68907,0,31,16,2,0,33,0,399191,0
18224,0,77,33,1,2,93,1,1231875,1
50567,1,26,27,3,0,15,0,1557838,0
5526,1,39,18,3,1,57,1,2266135,1
26708,1,30,18,2,0,31,0,1632562,0
25323,0,29,10,2,0,27,1,264668,0
92745,1,53,30,3,2,122,0,408243,1
74048,1,29,24,2,0,31,0,917492,0
105269,1,62,33,1,0,91,1,1950942,0
46275,1,43,34,3,2,14,0,1361931,1
77483,0,27,29,2,0,8,0,882630,1
74796,1,49,6,3,1,92,0,648667,1
91925,1,46,19,3,1,21,0,772422,0
63082,1,37,5,2,1,20,1,373088,1
52544,0,27,18,3,0,19,0,2961733,1
11587,1,40,18,3,1,51,1,2096484,0
36659,1,51,34,3,2,104,0,1437243,0
96002,0,24,30,1,0,20,0,692384,0
37661,1,62,20,1,2,75,1,451701,0
89505,1,52,24,3,1,33,1,649059,1
57653,0,43,34,2,1,20,0,1142279,1
27153,1,37,18,3,1,25,0,589518,1
34952,1,60,33,3,2,25,1,999834,0
60912,1,31,0,2,0,32,0,420311,0
48305,1,30,13,2,0,21,0,367792,0
42888,0,49,27,1,1,87,1,990667,0
8579,1,29,7,1,0,33,0,544279,0
78942,1,41,4,3,3,14,0,1036440,1
99636,0,77,18,1,2,43,1,1562964,0
71194,0,26,18,2,0,19,0,6874021,0
1521,0,54,34,3,2,99,1,631588,1
19759,0,28,4,1,0,26,0,771861,0
70597,1,30,34,1,0,14,0,264979,1
13258,1,54,18,3,0,32,1,1920103,0
18825,0,51,23,3,2,62,1,791307,0
36415,0,48,29,3,0,61,0,670534,0
53176,1,76,34,1,2,97,0,424423,0
28597,0,46,30,3,1,33,1,1020162,0
103009,0,26,32,2,0,20,1,907897,0
85471,0,49,6,0,1,91,0,891263,0
56729,0,28,33,1,2,21,1,1248064,1
27605,0,31,12,2,0,33,0,672510,0
127,1,31,29,2,0,33,0,265958,0
18455,0,41,32,3,2,67,0,536785,0
43266,0,27,30,3,0,19,1,483421,0
70243,0,45,18,3,1,26,0,752147,0
57718,0,28,25,2,0,26,1,907452,0
87279,0,31,4,1,0,33,0,798997,0
30692,1,48,18,3,1,87,1,438325,0
39636,0,26,7,1,0,13,1,390896,0
38583,0,40,4,1,1,50,0,1136165,1
35986,1,31,11,2,0,31,0,2420915,0
54582,1,33,9,2,0,14,0,494350,0
47968,0,29,22,2,0,32,0,697768,0
77495,1,29,19,3,1,25,0,2227625,1
78373,0,67,13,1,2,79,0,1063398,0
93286,1,31,18,2,0,32,0,2064862,1
43296,1,27,13,2,0,15,0,1282071,1
59090,1,28,6,2,0,15,0,967803,1
103326,1,35,20,2,0,31,0,1741747,0
42642,1,61,19,3,1,87,0,480608,1
39355,0,58,33,3,1,25,0,878892,0
86503,0,27,4,2,0,20,0,577966,0
